trade_date,decision_time,entry_time,benchmark,leader,laggard,members,leader_return,laggard_return,leader_laggard_gap,conditional_lower_tail,frozen_rho,candidate_gross_return,peer_control_gross_return,paired_gross_edge
2026-05-20,2026-05-20T14:00:00+08:00,2026-05-20T14:05:00+08:00,931573,513150,513980,"['513980', '513020', '513860', '513150', '513560']",0.002008066136261144,-0.001589804630380609,0.003597870766641753,0.0004802642959746972,0.8870302599697719,0.0015949709268114898,0.000502001573059907,0.0010929693537515828
2026-05-20,2026-05-20T14:00:00+08:00,2026-05-20T14:05:00+08:00,931637,513040,520650,"['513040', '513770', '520650']",0.002806380696704247,0.0,0.002806380696704247,0.006264572551237579,0.8878653741191584,0.0014619694489603763,0.0,0.0014619694489603763
2026-05-20,2026-05-20T14:00:00+08:00,2026-05-20T14:05:00+08:00,N225,513520,513880,"['513520', '513880', '513000']",0.0029717889068643366,0.0,0.0029717889068643366,0.026998766582814637,0.7662782614982533,0.002672365095673923,0.002469621406710698,0.00020274368896322503
2026-05-21,2026-05-21T14:00:00+08:00,2026-05-21T14:05:00+08:00,HSSCPB,520690,520880,"['520880', '520690']",0.004132178141696308,0.0,0.004132178141696308,0.013357968464302539,0.8681019665293025,-0.0022221936708607393,-0.0013717245038873394,-0.0008504691669733999
2026-05-22,2026-05-22T10:00:00+08:00,2026-05-22T10:05:00+08:00,931637,513040,513770,"['513040', '513770', '520650']",0.0028901936576752885,0.0,0.0028901936576752885,0.026704809512556327,0.8258414457361911,-0.002577363139751432,-0.000481718083808258,-0.002095645055943174
2026-05-22,2026-05-22T13:30:00+08:00,2026-05-22T13:35:00+08:00,931573,513980,513020,"['513980', '513020', '513860', '513150', '513560']",0.003149659662166515,0.0,0.003149659662166515,0.01122555380302348,0.8931551384575568,0.0020407900121106604,0.0030723642057597367,-0.0010315741936490763
2026-05-22,2026-05-22T14:00:00+08:00,2026-05-22T14:05:00+08:00,931573,513980,513860,"['513980', '513020', '513860', '513150', '513560']",0.003139676882952358,-0.0015823523481258706,0.004722029231078229,0.0005443269864577327,0.865904918993439,-0.0015823523481258706,0.0,-0.0015823523481258706
2026-05-22,2026-05-22T14:00:00+08:00,2026-05-22T14:05:00+08:00,931637,513770,520650,"['513040', '513770', '520650']",0.005128215708911643,0.0,0.005128215708911643,0.01991901338704305,0.8088986901819207,-0.0014948380954383778,-0.001278794016638829,-0.0002160440787995488
2026-05-25,2026-05-25T10:00:00+08:00,2026-05-25T10:05:00+08:00,931573,513560,513980,"['513980', '513020', '513860', '513560']",0.002561930803639534,-0.0015797584514770646,0.0041416892551165985,2.1701388803030408e-05,0.8955279986279852,0.0,-0.0010224817387638474,0.0010224817387638474
2026-05-25,2026-05-25T10:30:00+08:00,2026-05-25T10:35:00+08:00,NDX,513870,513300,"['513100', '513300', '513110', '513390', '513870']",0.002962865807669024,-0.0003780444340123479,0.003340910241681372,0.002677881897223122,0.7192707437612429,0.0045385193881912755,0.005193675632335637,-0.0006551562441443615
